id,title,original_title,year,rating,rating_count,director,screenwriter,actors,genre,region,language,duration,release_date,aka,imdb,synopsis,poster_url,ranking,tags,url
1302425,喜剧之王, 喜劇之王,1999,8.8,1098342,周星驰 Stephen Chow,,,喜剧 剧情 爱情,中国香港,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2917778954.jpg,90,,https://movie.douban.com/subject/1302425/
1300299,杀人回忆, 살인의 추억,2003,8.9,839983,奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song,,,剧情 动作 犯罪 悬疑 惊悚,韩国,,,,,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,91,,https://movie.douban.com/subject/1300299/
1297192,致命ID, Identity,2003,8.9,952484,詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack,,,剧情 悬疑 惊悚,美国,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,92,,https://movie.douban.com/subject/1297192/
1294371,摩登时代, Modern Times,1936,9.3,348119,查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ... 1936,,,剧情 喜剧 爱情,美国,,,,,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg,93,,https://movie.douban.com/subject/1294371/
1292679,春光乍泄, 春光乍洩,1997,9.0,711196,王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung,,,剧情 爱情 同性,中国香港 日本 韩国,,,,,,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg,94,,https://movie.douban.com/subject/1292679/
1298070,加勒比海盗, Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.8,971485,戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp,,,动作 冒险 奇幻,美国,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,95,,https://movie.douban.com/subject/1298070/
3442220,海豚湾, The Cove,2009,9.3,383030,路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo... 2009,,,纪录片,美国,,,,,,海豚的微笑，是世界上最高明的伪装。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg,96,,https://movie.douban.com/subject/3442220/
1292262,美国往事, Once Upon a Time in America,1984,9.1,473357,赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ... 1984,,,犯罪 剧情,美国 意大利,,,,,,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg,97,,https://movie.douban.com/subject/1292262/
1865703,红辣椒, パプリカ,2006,9.0,572563,今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara,,,动画 悬疑 科幻 惊悚,日本,,,,,,梦的勾结。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg,98,,https://movie.douban.com/subject/1865703/
1292223,七宗罪, Se7en,1995,8.8,1065319,大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman,,,剧情 犯罪 悬疑 惊悚,美国,,,,,,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg,99,,https://movie.douban.com/subject/1292223/
